	cat_ctx_control	podtreck_control	iri_young_sham
9830147E19RIK	NA	NA	0.9958259790439304
9930004E17RIK	NA	NA	0.5707255730414401
9930021J03RIK	NA	1.6930030359890889	2.2822370761590043
9930104L06RIK	NA	1.1525983483562612	1.6236739820166042
9930111J21RIK1	NA	1.5076779358060364	0.44474270376073083
9930111J21RIK2	NA	1.0451403736295237	NA
A130014A01RIK	NA	NA	0.8337828106024224
A1CF	4.864760891771475	3.5945907317244115	4.434101555570419
A230046K03RIK	NA	NA	3.394683614865203
A230050P20RIK	NA	NA	1.485573126020084
A230056P14RIK	NA	NA	0.9756311079187127
A230072C01RIK	NA	1.111147278284805	1.4173079172969478
A230083G16RIK	NA	NA	2.0642874246183367
A2M	4.590455430588942	NA	NA
A2ML1	0.6740857950929448	NA	NA
A330023F24RIK	NA	NA	1.003911680935922
A330035P11RIK	NA	NA	1.0013764406785912
A330040F15RIK	NA	NA	3.204077959447598
A330069E16RIK	NA	NA	0.9464719209354473
A3GALT2	3.2455917710109765	NA	NA
A430018G15RIK	NA	1.6018177318966833	NA
A430033K04RIK	NA	1.1600283223538235	1.7321557523921796
A430035B10RIK	NA	NA	1.3218534777571251
A430046D13RIK	NA	NA	1.1422632893711082
A430073D23RIK	NA	0.6677718313178388	NA
A430105I19RIK	NA	NA	1.3028205302090228
A4GALT	5.030826842394364	1.5710732355455483	3.348287020125303
A4GNT	NA	1.9650360800276807	2.859814045196382
A530017D24RIK	NA	1.4946972978557778	1.3671180719157723
A530032D15RIK	NA	0.04278206588881959	NA
A530054K11RIK	NA	NA	1.654644314244356
A630052C17RIK	NA	0.8198006437800749	1.5148364876903726
A630072M18RIK	NA	NA	0.8927484291475576
A630076J17RIK	NA	NA	3.040371548292119
A730017L22RIK	NA	0.7960101668018789	1.3927748271718
A730020M07RIK	NA	NA	1.0740877854539868
A730049H05RIK	NA	0.6971632700584607	1.0924980613291237
A730063M14RIK	NA	0.884309217454585	NA
A830080D01RIK	NA	NA	1.5672183440363574
A930001C03RIK	NA	0.4978937920860858	0.7709269580937012
A930004D18RIK	NA	0.5267143476457997	1.1519116345882086
A930005H10RIK	NA	1.1965238051408706	1.017277747127035
A930006K02RIK	NA	NA	0.9046081853543227
A930007A09RIK	NA	0.48033485926733793	NA
A930017K11RIK	NA	0.9376860106304363	1.5267993926933867
A930033H14RIK	NA	NA	0.8412106572992055
AA414768	NA	0.5739379962784771	1.220730058692595
AA415398	NA	NA	2.1178425916041954
AA465934	NA	1.1262690386765444	1.4496281681286998
AA474331	NA	NA	1.7028608873095206
