n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
2,7,21,IRI48h+IRI7d,0.1846372364689991,0.20658356100321168,0.02081303564419248
2,7,21,IRI48h+IRI14d,0.14770978917519928,0.015891043154093207,-0.009794470149265669
2,7,21,IRI48h+IRI28d,0.11078234188139947,0.0,0.2074799490780438
2,7,21,IRI48h+IRI12m,0.203100960115899,0.09534625892455924,0.16975632197294493
2,7,21,IRI72h+IRI7d,0.14770978917519928,0.14301938838683886,0.05714285714285714
2,7,21,IRI72h+IRI14d,0.12924606552829937,-0.04767312946227962,0.009756110458215225
2,7,21,IRI72h+IRI28d,0.09231861823449955,-0.031782086308186415,0.2
2,7,21,IRI72h+IRI12m,0.03692744729379982,-0.04767312946227962,0.26493506493506497
2,7,21,IRI7d+IRI14d,0.25849213105659874,0.17480147469502527,0.21593524480849702
2,7,21,IRI7d+IRI28d,0.1846372364689991,0.14301938838683886,0.3936343176104029
2,7,21,IRI7d+IRI12m,0.1846372364689991,0.19069251784911848,0.35974025974025975
2,7,21,IRI14d+IRI28d,0.3692744729379982,0.09534625892455924,0.39284604778413307
2,7,21,IRI14d+IRI12m,0.31388330199729847,0.09534625892455924,0.21788646690014002
2,7,21,IRI28d+IRI12m,0.14770978917519928,0.031782086308186415,0.4922077922077922
4,9,36,IRI2h+IRI4h+IRI24h+IRI48h,0.08357898650645978,-0.06952269293838405,0.6606569302662437
4,9,36,IRI2h+IRI4h+IRI24h+IRI72h,0.02387971043041708,-0.12300168750637175,0.6643928194464405
4,9,36,IRI2h+IRI4h+IRI24h+IRI7d,0.07760905889885553,-0.04278319565439018,0.6979019236601641
4,9,36,IRI2h+IRI4h+IRI24h+IRI14d,0.15521811779771105,-0.0588268940247865,0.557558662678173
4,9,36,IRI2h+IRI4h+IRI24h+IRI28d,0.02387971043041708,-0.1336974864199693,0.7030123816944079
4,9,36,IRI2h+IRI4h+IRI24h+IRI12m,0.0596992760760427,-0.0962621902223779,0.5880687315092573
4,9,36,IRI2h+IRI4h+IRI48h+IRI72h,0.06566920368364697,-0.08556639130878035,0.7146076821696719
4,9,36,IRI2h+IRI4h+IRI48h+IRI7d,0.09551884172166832,-0.02673949728399386,0.7223796992204503
4,9,36,IRI2h+IRI4h+IRI48h+IRI14d,0.16715797301291957,-0.03743529619759141,0.6008124580566697
4,9,36,IRI2h+IRI4h+IRI48h+IRI28d,0.02387971043041708,-0.12834958696317053,0.751915650039371
4,9,36,IRI2h+IRI4h+IRI48h+IRI12m,0.11342862454448112,-0.0588268940247865,0.5821155551511867
4,9,36,IRI2h+IRI4h+IRI72h+IRI7d,0.08357898650645978,-0.04813109511118895,0.7314499017656181
4,9,36,IRI2h+IRI4h+IRI72h+IRI14d,0.15521811779771105,-0.06417479348158527,0.6162364624980269
4,9,36,IRI2h+IRI4h+IRI72h+IRI28d,0.01790978282281281,-0.1390453858767681,0.7596859375585187
4,9,36,IRI2h+IRI4h+IRI72h+IRI12m,0.0596992760760427,-0.10695798913597544,0.6334620334620336
4,9,36,IRI2h+IRI4h+IRI7d+IRI14d,0.24476703191177507,0.04278319565439018,0.6593690999928203
4,9,36,IRI2h+IRI4h+IRI7d+IRI28d,0.08357898650645978,-0.0588268940247865,0.799304866863318
4,9,36,IRI2h+IRI4h+IRI7d+IRI12m,0.14327826258250248,-0.005347899456798772,0.6712143652485831
4,9,36,IRI2h+IRI4h+IRI14d+IRI28d,0.21491739387375372,-0.02673949728399386,0.711148571531257
4,9,36,IRI2h+IRI4h+IRI14d+IRI12m,0.27461666994979644,0.02673949728399386,0.537178963966103
4,9,36,IRI2h+IRI4h+IRI28d+IRI12m,0.07760905889885553,-0.0962621902223779,0.7124469102654017
4,9,36,IRI2h+IRI24h+IRI48h+IRI72h,0.13133840736729394,-0.010695798913597544,0.5076933496927958
4,9,36,IRI2h+IRI24h+IRI48h+IRI7d,0.13133840736729394,0.04813109511118895,0.5299685080739405
4,9,36,IRI2h+IRI24h+IRI48h+IRI14d,0.10148876932927259,-0.03743529619759141,0.41935730126906984
4,9,36,IRI2h+IRI24h+IRI48h+IRI28d,0.05372934846843843,-0.06952269293838405,0.5529943194080411
4,9,36,IRI2h+IRI24h+IRI48h+IRI12m,0.04775942086083416,-0.05347899456798772,0.5195390986584911
